artifact,chunker,chunk_size,effective_multiplier,wire_bytes,chunks,full_frames,ref_frames,reconstruction_ok
scripted-disk-snapshot,fixed,1024,17.129117,61216,1024,28,996,True
scripted-disk-snapshot,cdc,1024,16.230319,64606,322,14,308,True
scripted-disk-snapshot,fixed,2048,23.330723,44944,512,14,498,True
scripted-disk-snapshot,cdc,2048,11.682908,89753,250,15,235,True
scripted-disk-snapshot,fixed,4096,28.487720,36808,256,7,249,True
scripted-disk-snapshot,cdc,4096,10.713092,97878,157,13,144,True
scripted-disk-snapshot,fixed,8192,17.082236,61384,128,7,121,True
scripted-disk-snapshot,cdc,8192,8.501577,123339,95,11,84,True
scripted-disk-snapshot,fixed,16384,8.986767,116680,64,7,57,True
scripted-disk-snapshot,cdc,16384,3.205174,327151,59,15,44,True
scripted-oci-layer,fixed,1024,12.110930,24520,290,15,275,True
scripted-oci-layer,cdc,1024,7.320416,40566,83,10,73,True
scripted-oci-layer,fixed,2048,11.859425,25040,145,10,135,True
scripted-oci-layer,cdc,2048,5.115590,58050,59,9,50,True
scripted-oci-layer,fixed,4096,11.054199,26864,73,6,67,True
scripted-oci-layer,cdc,4096,4.596050,64612,45,9,36,True
scripted-oci-layer,fixed,8192,5.905186,50288,37,6,31,True
scripted-oci-layer,cdc,8192,2.763190,107470,24,7,17,True
scripted-oci-layer,fixed,16384,3.600039,82488,19,5,14,True
scripted-oci-layer,cdc,16384,1.931535,153743,16,6,10,True
scripted-repository-snapshot,fixed,1024,20.212697,24824,490,9,481,True
scripted-repository-snapshot,cdc,1024,5.491638,91368,40,3,37,True
scripted-repository-snapshot,fixed,2048,24.988048,20080,245,6,239,True
scripted-repository-snapshot,cdc,2048,5.059289,99176,28,3,25,True
scripted-repository-snapshot,fixed,4096,24.731861,20288,123,4,119,True
scripted-repository-snapshot,cdc,4096,5.060921,99144,27,3,24,True
scripted-repository-snapshot,fixed,8192,14.451613,34720,62,4,58,True
scripted-repository-snapshot,cdc,8192,5.078954,98792,16,3,13,True
scripted-repository-snapshot,fixed,16384,7.545717,66496,31,4,27,True
scripted-repository-snapshot,cdc,16384,5.078954,98792,16,3,13,True
